LOG DE AÇÕES DO SISTEMA

Usuario01 entrou no sistema no dia 09/06/2022 às 23:34
Usuario01 vizualizou os produtos no dia 09/06/2022 às 11:35
Usuario01 saiu do sistema no dia 09/06/2022 às 11:35

usuario02 entrou no sistema no dia 09/06/2022 às 23:36
usuario02 removeu algum produtos no dia 09/06/2022 às 11:36

usuario01 entrou no sistema no dia 09/06/2022 às 23:43
usuario01 removeu algum produtos no dia 09/06/2022 às 11:44

usuario01 entrou no sistema no dia 09/06/2022 às 23:45
usuario01 removeu algum produtos no dia 09/06/2022 às 11:45
usuario01 encerrou o sistema no dia 09/06/2022 às 11:45

USUARIO01 entrou no sistema no dia 09/06/2022 Ã s 23:48
USUARIO01 removeu algum produtos no dia 09/06/2022 às 11:48
